source1_entity_id	candidate_entity_ids
S1-706514314	S3-299576808,S3-161412777,S2-811863966,S2-402816014,S3-75056814,S3-96513872,S3-269888656,S3-288750155,S3-181819854,S3-572598570,S3-585479914,S3-630633029,S2-716687956,S2-457500956,S3-46986783,S2-626445420
S1-352234501	S3-565165190,S2-634015823,S3-608740521,S3-371292760,S2-986801518,S3-417218868,S3-83266577
S1-225119054	S2-944853638,S2-152030787,S3-822866561
S1-543144015	S2-946002985,S2-190103142
S1-233584777	S2-625682061,S2-438182503,S2-492879191,S2-904673479,S2-290146361,S3-811855637,S3-605495109,S3-593749288,S2-516249560,S3-112379453,S3-362638952,S2-686350780,S3-8222959,S2-402816908,S3-722381828,S3-121412624
S1-192327811	S3-490973637,S2-684635925,S2-469073813
S1-993357110	S3-269888656,S2-785852339,S2-713920891,S3-210476563,S3-973629095,S3-180062010,S2-956608424,S3-22467283,S2-450266205,S2-193995593,S2-912941112,S2-91704178,S3-532479968,S3-899583090,S2-716687956,S2-322211984,S3-8222959,S3-568617496,S2-622773844,S3-390090152
S1-440023753	S2-944853638,S3-822866561
S1-854319024	S2-347017935,S3-474790592,S3-551148968,S2-53273621,S3-833085447,S2-938612654,S3-980152742
S1-86094936	S3-780118815,S2-684635925,S3-173449142,S3-619115665
S1-981904067	S3-148895274
S1-832211747	S3-762825829
S1-488506845	S2-956608424,S3-180062010,S2-716687956,S2-622773844,S3-568617496,S2-450266205,S2-912941112,S2-91704178,S3-8222959,S3-899583090,S2-713920891,S3-532479968,S3-22467283,S2-322211984,S3-973629095,S3-210476563,S2-193995593,S3-390090152,S2-56744275,S3-15177093
S1-654697159	
S1-739195544	S3-568617496,S2-867614780,S3-771692836,S3-39022747
S1-559551054	S3-97933587,S2-755671955,S3-181819854,S2-679333576,S3-315861895,S2-430367614,S2-623817123,S2-537858187,S3-519350515
S1-580254632	S3-572363539,S3-92974238,S2-971339247,S2-829598251,S2-688657051,S3-298996001,S3-431503485,S2-258702122,S2-701477103
S1-405795474	S3-625913156,S2-173632166
S1-765456522	S2-275401270,S2-897475107
S1-55333937	S2-275401270,S2-897475107,S3-532691427
S1-876256279	S3-397850436
S1-651095976	S3-405782849,S3-52936362,S3-738829801
S1-522840559	S2-457500956,S2-716687956,S2-516249560,S3-161412777,S2-533197229,S3-372045674,S3-80888417,S3-903416633,S3-630633029,S2-626445420,S3-46986783
S1-601945198	
S1-757082720	S2-537858187,S2-736654053,S3-474790592,S3-637595241,S2-347017935,S3-761438523,S2-5405243,S3-551148968,S2-491848437
S1-590134263	S2-679333576,S2-623817123,S3-315861895,S2-537858187,S3-203889100
S1-842497118	S3-269888656,S2-648129048,S2-785852339
S1-326704888	S2-857681318,S3-551148968,S3-875583147
S1-4869416	
S1-720468760	S2-836566896
S1-93806322	S3-463723999,S3-444600693,S2-168770832,S2-684635925,S3-755888332
S1-16642923	S3-787353706
S1-951871591	S2-308505251,S3-8241507
S1-665355186	S3-859268022,S3-566328140,S2-34449822,S3-496785125,S2-895797947,S2-996245861
S1-953470089	S3-566328140,S2-971491700
S1-464105135	S3-975758507,S2-1722538,S2-591536531,S2-175566180,S3-738588591
S1-272091966	S3-80888417,S2-103317508,S2-792661362,S2-867614780,S2-64137184,S2-457500956,S3-903416633,S2-56744275,S2-673704658,S3-4573520,S3-269888656,S2-5405243,S3-161412777,S2-589492301,S2-630651352
S1-675959550	
S1-716442915	S3-879599711,S2-623817123,S3-171901473,S3-113462535,S3-105263451
S1-657025372	
S1-958577120	S2-191007167
S1-606480359	
S1-378652653	S2-129228958,S2-836840386,S2-88437832,S2-539420714
S1-24519478	S3-702183940,S3-891626766,S2-698001157,S2-895797947
S1-539197690	S3-32634960,S3-726575561,S2-508602797,S3-45067784,S2-102286733,S3-128062172
S1-977704542	S2-616836723,S2-769808418,S2-56744275,S2-479331549,S2-257885603,S2-967974285,S2-35158435
S1-338840619	
S1-170960991	S3-298996001,S2-280702058,S2-215182600,S2-895116270,S2-635228641,S3-878295053,S2-642855647,S2-467948188,S2-67505679,S2-8982199,S3-26161361,S3-878820114,S3-46768096,S3-725749046,S3-444600693
S1-152967828	S2-479331549,S2-511376005,S2-783194949,S3-791460119,S2-944555126
S1-13859063	S2-763108962,S2-970843942
S1-152217425	S3-14718400
S1-113241674	S3-510778048
S1-711682948	S2-316755660,S2-236577190,S3-961916983,S3-346784486,S3-718581280
S1-284209086	S3-126982322,S3-465433588,S3-325154278,S2-826030024,S2-785139940,S3-829490404,S3-60787735,S3-244849851,S3-335805814,S3-918357967
S1-537478269	S3-585479914,S3-161412777,S3-288750155,S3-572598570,S3-299576808,S3-75056814,S2-477675434,S2-402816014,S2-811863966,S3-269888656,S3-181819854
S1-208550511	S3-96513872
S1-632136965	
S1-133868991	S3-931454338,S3-81892603,S3-123694229,S3-498867067,S2-940708406,S3-53737228,S3-46768096
S1-684878299	S3-891618576,S3-426545498,S2-449617627,S2-895116270
S1-281356776	S2-970843942,S2-763108962
S1-40830766	S2-850499815,S3-607506773
S1-89093509	
S1-954595905	S3-577079257,S2-299258785,S3-771434219,S3-113462535
S1-287666599	S3-421946310
S1-952988982	S2-575166296,S2-299258785
S1-349873839	S2-39617527
S1-279661956	S3-593749288
S1-353948236	S2-953098128,S3-656934246,S3-608740521,S2-839616035
S1-126927804	S3-367524706,S2-797821871,S3-26161361,S3-335805814,S2-897475107
S1-627443733	S2-990119436,S3-211882578,S2-187514897,S3-479249803,S3-659206129,S3-776815069,S3-797756565,S2-379148212,S2-800014563,S3-730662073,S3-447961633,S3-210818742,S2-952329168,S2-726045392,S3-405553422,S3-53737228,S3-207262214,S2-761989439,S3-786009122,S2-529867680
S1-280818643	
S1-974716750	S2-777625208
S1-85500745	S2-316755660,S2-563357912,S2-114121811,S2-208005980,S2-764573417
S1-452308590	S2-868087865,S2-792661362,S3-572598570,S2-193995593,S3-775274701,S2-54307441
S1-330281696	S3-859268022,S3-566328140,S2-34449822,S3-496785125,S2-895797947,S2-996245861
S1-75862106	S3-506388347
S1-763496609	S2-243813488,S3-586800406,S2-375938862,S3-859268022,S2-321398182,S2-529867680,S3-977086194,S2-281309190,S3-891626766,S3-678683280,S3-664253519,S2-761989439,S3-659206129,S3-12915038
S1-631165181	S3-517654841,S3-49672113,S3-380295664,S2-114121811,S2-918763928,S3-4573520
S1-737977090	S2-792661362
S1-987994833	S2-59544689,S3-730662073,S3-797756565,S3-405553422,S3-776815069,S3-659206129,S3-210818742,S2-761989439,S3-786009122,S2-800014563,S2-187514897,S2-990119436,S2-952329168,S3-479249803,S3-53737228,S3-211882578,S3-447961633,S2-379148212,S3-207262214,S2-726045392
S1-512288351	
S1-198026451	S2-297926319,S3-244849851,S3-891901989,S2-773208378,S3-709021698,S2-996245861,S3-619115665,S3-439655728,S2-584977605
S1-493059116	S2-634015823,S3-771692836
